Date,Stream,Reach,Position,Corr_Pos,Bankfull_Width,Wetted_Width,Year,Cascade,Fork
7/5/2023,Bear,Lower,70,70,3.5,3.5,2023,0,0
7/5/2023,Bear,Lower,60,60,3.25,1.79,2023,0,0
7/5/2023,Bear,Lower,50,50,2.74,2.74,2023,0,0
7/5/2023,Bear,Lower,40,40,2.7,2.7,2023,0,0
7/5/2023,Bear,Lower,30,30,2.48,2.48,2023,0,0
7/5/2023,Bear,Lower,20,20,1.18,1.18,2023,0,0
7/5/2023,Bear,Lower,10,10,2.91,2.91,2023,0,0
7/5/2023,Bear,Lower,0,0,3.92,3.92,2023,0,0
7/17/2023,Bear,Lower,500,500,1.92,1.92,2023,0,0
7/17/2023,Bear,Lower,490,490,3.03,3.03,2023,0,0
7/17/2023,Bear,Lower,480,480,2.42,2.42,2023,0,0
7/17/2023,Bear,Lower,470,470,1.81,1.81,2023,0,0
7/17/2023,Bear,Lower,460,460,3.48,3.48,2023,0,0
7/17/2023,Bear,Lower,450,450,3.02,3.02,2023,0,0
7/17/2023,Bear,Lower,440,440,2.04,2.04,2023,0,1
7/17/2023,Bear,Lower,430,430,2.44,2.44,2023,0,0
7/17/2023,Bear,Lower,420,420,2.95,2.95,2023,0,0
7/17/2023,Bear,Lower,410,410,3.43,3.43,2023,0,0
7/17/2023,Bear,Lower,400,400,3.41,2.31,2023,0,0
7/17/2023,Bear,Lower,390,390,1.4,1.4,2023,0,1
7/17/2023,Bear,Lower,380,380,3.7,3.7,2023,0,0
7/17/2023,Bear,Lower,370,370,2.23,2.23,2023,0,0
7/17/2023,Bear,Lower,360,360,3.67,3.67,2023,0,0
7/17/2023,Bear,Lower,350,350,4.06,4.06,2023,0,0
7/17/2023,Bear,Lower,340,340,2.65,2.65,2023,0,0
7/17/2023,Bear,Lower,330,330,2.35,2.35,2023,0,0
7/17/2023,Bear,Lower,320,320,2.62,2.62,2023,0,0
7/17/2023,Bear,Lower,310,310,4.73,4.73,2023,0,0
7/17/2023,Bear,Lower,300,300,3.76,3.76,2023,0,0
7/17/2023,Bear,Lower,290,290,4.38,4.38,2023,0,0
7/17/2023,Bear,Lower,280,280,3.38,3.38,2023,0,0
7/17/2023,Bear,Lower,270,270,2.65,2.65,2023,0,0
7/17/2023,Bear,Lower,260,260,2.7,2.7,2023,0,1
7/17/2023,Bear,Lower,250,250,2.56,2.56,2023,0,1
7/17/2023,Bear,Lower,240,240,2.36,2.36,2023,0,1
7/17/2023,Bear,Lower,230,230,3.65,3.65,2023,0,0
7/17/2023,Bear,Lower,220,220,4.27,3.63,2023,0,0
7/17/2023,Bear,Lower,210,210,3.1,3.1,2023,0,0
7/17/2023,Bear,Lower,200,200,2.69,2.42,2023,0,0
7/17/2023,Bear,Lower,190,190,3.73,3.73,2023,0,0
7/17/2023,Bear,Lower,180,180,3.93,3.93,2023,0,0
7/17/2023,Bear,Lower,170,170,2.58,2.58,2023,0,0
7/17/2023,Bear,Lower,160,160,3.07,3.07,2023,0,0
7/17/2023,Bear,Lower,150,150,2.98,2.98,2023,0,0
7/17/2023,Bear,Lower,140,140,3.51,3.51,2023,0,0
7/17/2023,Bear,Lower,130,130,3.01,3.01,2023,0,1
7/17/2023,Bear,Lower,120,120,4.13,4.13,2023,0,0
7/17/2023,Bear,Lower,110,110,3.71,3.19,2023,0,0
7/17/2023,Bear,Lower,100,100,2.95,2.95,2023,0,0
7/17/2023,Bear,Lower,90,90,3.87,3.87,2023,0,0
7/17/2023,Bear,Lower,80,80,3.03,3.03,2023,0,0
7/17/2023,Bear,Lower,70,70,3.5,3.5,2023,0,0
7/17/2023,Bear,Lower,60,60,3.25,3.01,2023,0,0
7/17/2023,Bear,Lower,50,50,2.74,2.74,2023,0,0
7/17/2023,Bear,Lower,40,40,2.7,2.7,2023,0,0
7/17/2023,Bear,Lower,30,30,2.48,2.48,2023,0,0
7/17/2023,Bear,Lower,20,20,1.18,1.18,2023,0,0
7/17/2023,Bear,Lower,10,10,2.91,2.91,2023,0,0
7/17/2023,Bear,Lower,0,0,3.92,3.92,2023,0,0
8/2/2023,Bear,Lower,500,500,1.92,1.92,2023,0,0
8/2/2023,Bear,Lower,490,490,3.03,2.79,2023,0,0
8/2/2023,Bear,Lower,480,480,2.42,2.42,2023,0,0
8/2/2023,Bear,Lower,470,470,1.81,1.46,2023,0,0
8/2/2023,Bear,Lower,460,460,3.48,3.48,2023,0,0
8/2/2023,Bear,Lower,450,450,3.02,3.02,2023,0,0
8/2/2023,Bear,Lower,440,440,2.04,2.04,2023,0,1
8/2/2023,Bear,Lower,430,430,2.44,1.43,2023,0,0
8/2/2023,Bear,Lower,420,420,2.95,2.66,2023,0,0
8/2/2023,Bear,Lower,410,410,3.43,3.43,2023,0,0
8/2/2023,Bear,Lower,400,400,3.41,2.23,2023,0,0
8/2/2023,Bear,Lower,390,390,1.4,1.4,2023,0,1
8/2/2023,Bear,Lower,380,380,3.7,3.7,2023,0,0
8/2/2023,Bear,Lower,370,370,2.23,2.23,2023,0,0
8/2/2023,Bear,Lower,360,360,3.67,3.67,2023,0,0
8/2/2023,Bear,Lower,350,350,4.06,4.06,2023,0,0
8/2/2023,Bear,Lower,340,340,2.65,2.65,2023,0,0
8/2/2023,Bear,Lower,330,330,2.35,2.19,2023,0,0
8/2/2023,Bear,Lower,320,320,2.62,2.62,2023,0,0
8/2/2023,Bear,Lower,310,310,4.73,4.69,2023,0,0
8/2/2023,Bear,Lower,300,300,3.76,3.69,2023,0,0
8/2/2023,Bear,Lower,290,290,4.38,4.38,2023,0,0
8/2/2023,Bear,Lower,280,280,3.38,3.31,2023,0,0
8/2/2023,Bear,Lower,270,270,2.65,2.18,2023,0,0
8/2/2023,Bear,Lower,260,260,2.7,2.7,2023,0,1
8/2/2023,Bear,Lower,250,250,2.56,2.56,2023,0,1
8/2/2023,Bear,Lower,240,240,2.36,2.34,2023,0,1
8/2/2023,Bear,Lower,230,230,3.65,3.54,2023,0,0
8/2/2023,Bear,Lower,220,220,4.27,3.45,2023,0,0
8/2/2023,Bear,Lower,210,210,3.1,3,2023,0,0
8/2/2023,Bear,Lower,200,200,2.69,2.5,2023,0,0
8/2/2023,Bear,Lower,190,190,3.73,3.62,2023,0,0
8/2/2023,Bear,Lower,180,180,3.93,2.88,2023,0,0
8/2/2023,Bear,Lower,170,170,2.58,2.58,2023,0,0
8/2/2023,Bear,Lower,160,160,3.07,2.76,2023,0,0
8/2/2023,Bear,Lower,150,150,2.98,2.98,2023,0,0
8/2/2023,Bear,Lower,140,140,3.51,3.32,2023,0,0
8/2/2023,Bear,Lower,130,130,3.01,3.01,2023,0,1
8/2/2023,Bear,Lower,120,120,4.13,4.13,2023,0,0
8/2/2023,Bear,Lower,110,110,3.71,2.33,2023,0,0
8/2/2023,Bear,Lower,100,100,2.95,2.46,2023,0,0
8/2/2023,Bear,Lower,90,90,3.87,3.87,2023,0,0
8/2/2023,Bear,Lower,80,80,3.03,3.03,2023,0,0
8/2/2023,Bear,Lower,70,70,3.5,2.51,2023,0,0
8/2/2023,Bear,Lower,60,60,3.25,1.77,2023,0,0
8/2/2023,Bear,Lower,50,50,2.74,2.74,2023,0,0
8/2/2023,Bear,Lower,40,40,2.7,2.7,2023,0,0
8/2/2023,Bear,Lower,30,30,2.48,2.48,2023,0,0
8/2/2023,Bear,Lower,20,20,1.18,1.18,2023,0,0
8/2/2023,Bear,Lower,10,10,2.91,2.91,2023,0,0
8/2/2023,Bear,Lower,0,0,3.92,3.92,2023,0,0
8/16/2023,Bear,Lower,500,500,1.92,1.92,2023,0,0
8/16/2023,Bear,Lower,490,490,3.03,2.92,2023,0,0
8/16/2023,Bear,Lower,480,480,2.42,2.42,2023,0,0
8/16/2023,Bear,Lower,470,470,1.81,1.81,2023,0,0
8/16/2023,Bear,Lower,460,460,3.48,3.48,2023,0,0
8/16/2023,Bear,Lower,450,450,3.02,3.02,2023,0,0
8/16/2023,Bear,Lower,440,440,2.04,2.04,2023,0,1
8/16/2023,Bear,Lower,430,430,2.44,2.35,2023,0,0
8/16/2023,Bear,Lower,420,420,2.95,2.95,2023,0,0
8/16/2023,Bear,Lower,410,410,3.43,3.43,2023,0,0
8/16/2023,Bear,Lower,400,400,3.41,2.32,2023,0,0
8/16/2023,Bear,Lower,390,390,1.4,1.4,2023,0,1
8/16/2023,Bear,Lower,380,380,3.7,3.7,2023,0,0
8/16/2023,Bear,Lower,370,370,2.23,2.23,2023,0,0
8/16/2023,Bear,Lower,360,360,3.67,3.67,2023,0,0
8/16/2023,Bear,Lower,350,350,4.06,4.06,2023,0,0
8/16/2023,Bear,Lower,340,340,2.65,2.65,2023,0,0
8/16/2023,Bear,Lower,330,330,2.35,2.16,2023,0,0
8/16/2023,Bear,Lower,320,320,2.62,2.62,2023,0,0
8/16/2023,Bear,Lower,310,310,4.73,4.73,2023,0,0
8/16/2023,Bear,Lower,300,300,3.76,3.71,2023,0,0
8/16/2023,Bear,Lower,290,290,4.38,4.38,2023,0,0
8/16/2023,Bear,Lower,280,280,3.38,3.38,2023,0,0
8/16/2023,Bear,Lower,270,270,2.65,2.58,2023,0,0
8/16/2023,Bear,Lower,260,260,2.7,2.7,2023,0,1
8/16/2023,Bear,Lower,250,250,2.56,2.56,2023,0,1
8/16/2023,Bear,Lower,240,240,2.36,2.36,2023,0,1
8/16/2023,Bear,Lower,230,230,3.65,3.65,2023,0,0
8/16/2023,Bear,Lower,220,220,4.27,3.27,2023,0,0
8/16/2023,Bear,Lower,210,210,3.1,3.1,2023,0,0
8/16/2023,Bear,Lower,200,200,2.69,2.32,2023,0,0
8/16/2023,Bear,Lower,190,190,3.73,3.68,2023,0,0
8/16/2023,Bear,Lower,180,180,3.93,3.3,2023,0,0
8/16/2023,Bear,Lower,170,170,2.58,2.58,2023,0,0
8/16/2023,Bear,Lower,160,160,3.07,3.07,2023,0,0
8/16/2023,Bear,Lower,150,150,2.98,2.98,2023,0,0
8/16/2023,Bear,Lower,140,140,3.51,3.51,2023,0,0
8/16/2023,Bear,Lower,130,130,3.01,3.01,2023,0,1
8/16/2023,Bear,Lower,120,120,4.13,3.82,2023,0,0
8/16/2023,Bear,Lower,110,110,3.71,2.64,2023,0,0
8/16/2023,Bear,Lower,100,100,2.95,2.73,2023,0,0
8/16/2023,Bear,Lower,90,90,3.87,3.87,2023,0,0
8/16/2023,Bear,Lower,80,80,3.03,3.03,2023,0,0
8/16/2023,Bear,Lower,70,70,3.5,3.5,2023,0,0
8/16/2023,Bear,Lower,60,60,3.25,2.12,2023,0,0
8/16/2023,Bear,Lower,50,50,2.74,2.74,2023,0,0
8/16/2023,Bear,Lower,40,40,2.7,2.7,2023,0,0
8/16/2023,Bear,Lower,30,30,2.48,2.48,2023,0,0
8/16/2023,Bear,Lower,20,20,1.18,1.18,2023,0,0
8/16/2023,Bear,Lower,10,10,2.91,2.91,2023,0,0
8/16/2023,Bear,Lower,0,0,3.92,3.92,2023,0,0
6/23/2023,Bear,Upper,500,1400,1.22,1.22,2023,0,0
6/23/2023,Bear,Upper,490,1390,2.76,2.41,2023,0,0
6/23/2023,Bear,Upper,480,1380,1.53,1.53,2023,0,0
6/23/2023,Bear,Upper,470,1370,2.36,1.33,2023,0,0
6/23/2023,Bear,Upper,460,1360,1.02,0.85,2023,0,0
6/23/2023,Bear,Upper,450,1350,2.22,2.11,2023,0,0
6/23/2023,Bear,Upper,440,1340,1.37,0.98,2023,0,0
6/23/2023,Bear,Upper,430,1330,2.53,2.03,2023,1,0
6/23/2023,Bear,Upper,420,1320,2.06,2.06,2023,0,0
6/23/2023,Bear,Upper,410,1310,1.37,0.96,2023,0,0
6/23/2023,Bear,Upper,400,1300,1.25,1.01,2023,0,0
6/23/2023,Bear,Upper,390,1290,1.99,1.83,2023,0,0
6/23/2023,Bear,Upper,380,1280,1.2,1.2,2023,0,1
6/23/2023,Bear,Upper,370,1270,1.58,1.58,2023,0,0
6/23/2023,Bear,Upper,360,1260,2.62,2.25,2023,0,0
6/23/2023,Bear,Upper,350,1250,1.79,1.66,2023,0,0
6/23/2023,Bear,Upper,340,1240,1.81,1.62,2023,0,0
6/23/2023,Bear,Upper,330,1230,1.55,0.45,2023,0,0
6/23/2023,Bear,Upper,320,1220,1.56,1.16,2023,0,0
6/23/2023,Bear,Upper,310,1210,1.55,1.16,2023,0,0
6/23/2023,Bear,Upper,300,1200,2.47,1.04,2023,0,0
6/23/2023,Bear,Upper,290,1190,1.14,1.03,2023,0,0
6/23/2023,Bear,Upper,280,1180,1.03,1.03,2023,0,0
6/23/2023,Bear,Upper,270,1170,2.9,2.19,2023,0,1
6/23/2023,Bear,Upper,260,1160,1.71,1.71,2023,0,1
6/23/2023,Bear,Upper,250,1150,2.33,1.28,2023,0,1
6/23/2023,Bear,Upper,240,1140,2.51,1.89,2023,0,0
6/23/2023,Bear,Upper,230,1130,4.88,4.61,2023,0,0
6/23/2023,Bear,Upper,220,1120,3.24,3.09,2023,0,0
6/23/2023,Bear,Upper,210,1110,3.33,2.42,2023,0,0
6/23/2023,Bear,Upper,200,1100,3.01,3.01,2023,0,0
6/23/2023,Bear,Upper,190,1090,2.86,2.45,2023,0,0
6/23/2023,Bear,Upper,180,1080,3.05,3.05,2023,0,0
6/23/2023,Bear,Upper,170,1070,2.64,2.34,2023,0,0
6/23/2023,Bear,Upper,160,1060,3.94,3.39,2023,0,0
6/23/2023,Bear,Upper,150,1050,2.6,2.09,2023,0,0
6/23/2023,Bear,Upper,140,1040,3.63,3.18,2023,0,0
6/23/2023,Bear,Upper,130,1030,3.99,3.92,2023,0,0
6/23/2023,Bear,Upper,120,1020,4.32,2.23,2023,0,0
6/23/2023,Bear,Upper,110,1010,3.08,2.88,2023,0,0
6/23/2023,Bear,Upper,100,1000,2.73,1.99,2023,0,0
6/23/2023,Bear,Upper,90,990,4.83,4.72,2023,0,0
6/23/2023,Bear,Upper,80,980,3.31,2.36,2023,0,0
6/23/2023,Bear,Upper,70,970,0.93,0.93,2023,1,0
6/23/2023,Bear,Upper,60,960,2.89,2.75,2023,0,0
6/23/2023,Bear,Upper,50,950,2.06,1.72,2023,0,0
6/23/2023,Bear,Upper,40,940,1.53,1.46,2023,0,0
6/23/2023,Bear,Upper,30,930,2.14,2.14,2023,0,0
6/23/2023,Bear,Upper,20,920,2.03,1.52,2023,0,0
6/23/2023,Bear,Upper,10,910,2.04,1.82,2023,0,0
6/23/2023,Bear,Upper,0,900,2.96,2.58,2023,0,0
7/6/2023,Bear,Upper,500,1400,1.22,1.22,2023,0,0
7/6/2023,Bear,Upper,490,1390,2.76,2.41,2023,0,0
7/6/2023,Bear,Upper,480,1380,1.53,1.53,2023,0,0
7/6/2023,Bear,Upper,470,1370,2.36,1.59,2023,0,0
7/6/2023,Bear,Upper,460,1360,1.02,1.02,2023,0,0
7/6/2023,Bear,Upper,450,1350,2.22,1.98,2023,0,0
7/6/2023,Bear,Upper,440,1340,1.37,1.03,2023,0,0
7/6/2023,Bear,Upper,430,1330,2.53,2.53,2023,1,0
7/6/2023,Bear,Upper,420,1320,2.06,1.16,2023,0,0
7/6/2023,Bear,Upper,410,1310,1.37,1.03,2023,0,0
7/6/2023,Bear,Upper,400,1300,1.25,1.25,2023,0,0
7/6/2023,Bear,Upper,390,1290,1.99,1.99,2023,0,0
7/6/2023,Bear,Upper,380,1280,1.2,1.2,2023,0,1
7/6/2023,Bear,Upper,370,1270,1.58,1.58,2023,0,0
7/6/2023,Bear,Upper,360,1260,2.62,2.1,2023,0,0
7/6/2023,Bear,Upper,350,1250,1.79,1.59,2023,0,0
7/6/2023,Bear,Upper,340,1240,1.81,1.43,2023,0,0
7/6/2023,Bear,Upper,330,1230,1.55,0.55,2023,0,0
7/6/2023,Bear,Upper,320,1220,1.56,1.13,2023,0,0
7/6/2023,Bear,Upper,310,1210,1.55,1.27,2023,0,0
7/6/2023,Bear,Upper,300,1200,2.47,1.41,2023,0,0
7/6/2023,Bear,Upper,290,1190,1.14,1.14,2023,0,0
7/6/2023,Bear,Upper,280,1180,1.03,1.03,2023,0,0
7/6/2023,Bear,Upper,270,1170,2.9,2.07,2023,0,1
7/6/2023,Bear,Upper,260,1160,1.71,1.71,2023,0,1
7/6/2023,Bear,Upper,250,1150,2.33,1.32,2023,0,1
7/6/2023,Bear,Upper,240,1140,2.51,2.19,2023,0,0
7/6/2023,Bear,Upper,230,1130,4.88,4.88,2023,0,0
7/6/2023,Bear,Upper,220,1120,3.24,2.47,2023,0,0
7/6/2023,Bear,Upper,210,1110,3.33,2.22,2023,0,0
7/6/2023,Bear,Upper,200,1100,3.01,3.01,2023,0,0
7/6/2023,Bear,Upper,190,1090,2.86,2.86,2023,0,0
7/6/2023,Bear,Upper,180,1080,3.05,3.05,2023,0,0
7/6/2023,Bear,Upper,170,1070,2.64,2.64,2023,0,0
7/6/2023,Bear,Upper,160,1060,3.94,3.94,2023,0,0
7/6/2023,Bear,Upper,150,1050,2.6,2.6,2023,0,0
7/6/2023,Bear,Upper,140,1040,3.63,3.63,2023,0,0
7/6/2023,Bear,Upper,130,1030,3.99,3.83,2023,0,0
7/6/2023,Bear,Upper,120,1020,4.32,3.05,2023,0,0
7/6/2023,Bear,Upper,110,1010,3.08,3.08,2023,0,0
7/6/2023,Bear,Upper,100,1000,2.73,2.73,2023,0,0
7/6/2023,Bear,Upper,90,990,4.83,4.83,2023,0,0
7/6/2023,Bear,Upper,80,980,3.31,2.52,2023,0,0
7/6/2023,Bear,Upper,70,970,0.93,0.93,2023,1,0
7/6/2023,Bear,Upper,60,960,2.89,2.89,2023,0,0
7/6/2023,Bear,Upper,50,950,2.06,2.06,2023,0,0
7/6/2023,Bear,Upper,40,940,1.53,1.53,2023,0,0
7/6/2023,Bear,Upper,30,930,2.14,2.14,2023,0,0
7/6/2023,Bear,Upper,20,920,2.03,1.88,2023,0,0
7/6/2023,Bear,Upper,10,910,2.04,2.04,2023,0,0
7/6/2023,Bear,Upper,0,900,2.96,2.96,2023,0,0
7/18/2023,Bear,Upper,500,1400,1.22,1.22,2023,0,0
7/18/2023,Bear,Upper,490,1390,2.76,2.44,2023,0,0
7/18/2023,Bear,Upper,480,1380,1.53,1.53,2023,0,0
7/18/2023,Bear,Upper,470,1370,2.36,1.95,2023,0,0
7/18/2023,Bear,Upper,460,1360,1.02,1.02,2023,0,0
7/18/2023,Bear,Upper,450,1350,2.22,2.13,2023,0,0
7/18/2023,Bear,Upper,440,1340,1.37,1.37,2023,0,0
7/18/2023,Bear,Upper,430,1330,2.53,1.94,2023,1,0
7/18/2023,Bear,Upper,420,1320,2.06,2.06,2023,0,0
7/18/2023,Bear,Upper,410,1310,1.37,1.32,2023,0,0
7/18/2023,Bear,Upper,400,1300,1.25,1.25,2023,0,0
7/18/2023,Bear,Upper,390,1290,1.99,1.99,2023,0,0
7/18/2023,Bear,Upper,380,1280,1.2,1.2,2023,0,1
7/18/2023,Bear,Upper,370,1270,1.58,1.58,2023,0,0
7/18/2023,Bear,Upper,360,1260,2.62,2.42,2023,0,0
7/18/2023,Bear,Upper,350,1250,1.79,1.74,2023,0,0
7/18/2023,Bear,Upper,340,1240,1.81,1.54,2023,0,0
7/18/2023,Bear,Upper,330,1230,1.55,1.41,2023,0,0
7/18/2023,Bear,Upper,320,1220,1.56,1.25,2023,0,0
7/18/2023,Bear,Upper,310,1210,1.55,1.55,2023,0,0
7/18/2023,Bear,Upper,300,1200,2.47,1.89,2023,0,0
7/18/2023,Bear,Upper,290,1190,1.14,1.14,2023,0,0
7/18/2023,Bear,Upper,280,1180,1.03,1.03,2023,0,0
7/18/2023,Bear,Upper,270,1170,2.9,2.12,2023,0,1
7/18/2023,Bear,Upper,260,1160,1.71,1.71,2023,0,1
7/18/2023,Bear,Upper,250,1150,2.33,1.38,2023,0,1
7/18/2023,Bear,Upper,240,1140,2.51,2.39,2023,0,0
7/18/2023,Bear,Upper,230,1130,4.88,4.88,2023,0,0
7/18/2023,Bear,Upper,220,1120,3.24,2.71,2023,0,0
7/18/2023,Bear,Upper,210,1110,3.33,2.4,2023,0,0
7/18/2023,Bear,Upper,200,1100,3.01,3.01,2023,0,0
7/18/2023,Bear,Upper,190,1090,2.86,2.86,2023,0,0
7/18/2023,Bear,Upper,180,1080,3.05,2.39,2023,0,0
7/18/2023,Bear,Upper,170,1070,2.64,2.64,2023,0,0
7/18/2023,Bear,Upper,160,1060,3.94,3.75,2023,0,0
7/18/2023,Bear,Upper,150,1050,2.6,2.6,2023,0,0
7/18/2023,Bear,Upper,140,1040,3.63,3.51,2023,0,0
7/18/2023,Bear,Upper,130,1030,3.99,3.99,2023,0,0
7/18/2023,Bear,Upper,120,1020,4.32,3.18,2023,0,0
7/18/2023,Bear,Upper,110,1010,3.08,3.08,2023,0,0
7/18/2023,Bear,Upper,100,1000,2.73,2.23,2023,0,0
7/18/2023,Bear,Upper,90,990,4.83,4.83,2023,0,0
7/18/2023,Bear,Upper,80,980,3.31,2.67,2023,0,0
7/18/2023,Bear,Upper,70,970,0.93,0.93,2023,1,0
7/18/2023,Bear,Upper,60,960,2.89,2.89,2023,0,0
7/18/2023,Bear,Upper,50,950,2.06,2.06,2023,0,0
7/18/2023,Bear,Upper,40,940,1.53,1.53,2023,0,0
7/18/2023,Bear,Upper,30,930,2.14,2.14,2023,0,0
